_articleId,tags,geolocation,actorsMentioned,publicationDate,source
1,1,1,1,4/1/2021,"{
    ""name"": ""TeleDiario"",
    ""headline"": ""A meses de que cierre, a\u00fan no hay basurero que supla a Los Laureles"",
    ""url"": ""https://gdl.telediario.mx/local/meses-de-que-cierre-aun-no-hay-basurero-que-supla-los-laureles"",
    ""paywall "": true,
    ""coverageLevel"": ""Local/Nacional"",
    ""author"": ""Mar\u00eda Ram\u00edrez Blanco""
}"
2,1,1,1,5/7/2021,"{
    ""name"": ""L\u00edder informativo"",
    ""headline"": ""Avanza el plan de cierre definitivo del basurero \u00abLos Laureles\u00bb, asegura SEMADET"",
    ""url"": ""https://lider919.com/avanza-el-plan-de-cierre-definitivo-del-basurero-los-laureles-asegura-semadet"",
    ""paywall "": true,
    ""coverageLevel"": ""Estatal"",
    ""author"": ""Jos\u00e9 Toral""
}"
3,1,1,1,5/8/2021,"{
    ""name"": ""L\u00edder informativo"",
    ""headline"": ""Cumple CAABSA con apenas 33% de avance en actividades para cierre del basurero Los Laureles; en septiembre se cumple el plazo"",
    ""url"": ""https://lider919.com/cumple-caabsa-con-apenas-con-33-de-avance-en-actividades-para-cierre-del-basurero-los-laureles-en-septiembre-se-cumple-el-plazo"",
    ""paywall "": true,
    ""coverageLevel"": ""Estatal"",
    ""author"": ""Jos\u00e9 Toral""
}"
4,1,1,1,6/8/2021,"{
    ""name"": ""Mural"",
    ""headline"": ""Avientan lixiviados al aire libre en Laureles"",
    ""url"": ""https://www.mural.com.mx/aplicacioneslibre/preacceso/articulo/default.aspx?__rval=1&urlredirect=https://www.mural.com.mx/avientan-lixiviados-al-aire-libre-en-laureles/ar2235048?referer=--7d616165662f3a3a6262623b727a7a7279703b767a783a--"",
    ""paywall "": true,
    ""coverageLevel"": ""Estatal"",
    ""author"": ""Violeta Mel\u00e9ndez""
}"
5,1,1,1,6/8/2021,"{
    ""name"": ""El Norte"",
    ""headline"": ""Avientan lixiviados al aire libre en Laureles"",
    ""url"": ""https://www.mural.com.mx/aplicacioneslibre/preacceso/articulo/default.aspx?__rval=1&urlredirect=https://www.mural.com.mx/avientan-lixiviados-al-aire-libre-en-laureles/ar2235048?referer=--7d616165662f3a3a6262623b727a7a7279703b767a783a--"",
    ""paywall "": true,
    ""coverageLevel"": ""Monterrey/Nacional"",
    ""author"": ""Violeta Mel\u00e9ndez""
}"
6,1,1,1,6/8/2021,"{
    ""name"": ""Mural"",
    ""headline"": ""Incumple Caabsa con obligaciones para un abandono seguro "",
    ""url"": ""https://twitter.com/jcrtoral/status/1423624897121640453/photo/1"",
    ""paywall "": true,
    ""coverageLevel"": ""Estatal"",
    ""author"": ""Violeta Mel\u00e9ndez""
}"
7,1,1,1,6/8/2021,"{
    ""name"": ""Mural "",
    ""headline"": ""Actuar\u00e1n contra Caabsa si incumple en tiradero"",
    ""url"": ""https://www.mural.com.mx/actuaran-contra-caabsa-si-incumple-en-tiradero/gr/ar2235377?md5=3664c9b3d3a0d70f6018ae72aa5542b7&ta=0dfdbac11765226904c16cb9ad1b2efe&utm_source=whatsapp&utm_medium=social&utm_campaign=promocion_suscriptor"",
    ""paywall "": true,
    ""coverageLevel"": ""Estatal"",
    ""author"": ""Mart\u00edn Aquino""
}"
8,1,1,1,6/8/2021,"{
    ""name"": ""Mega Noticias"",
    ""headline"": ""Reportan retrasos en proceso de cierre del basurero Los Laureles"",
    ""url"": ""https://www.meganoticias.mx/guadalajara/noticia/reportan-retrasos-en-proceso-de-cierre-del-basurero-los-laureles/262933?fbclid=IwAR37j-UWAlQ_hLOurD_NYkO-AhJOPCs0Nk2DQWZ5TRJLGRAjzC0JNTrDt2o"",
    ""paywall "": true,
    ""coverageLevel"": ""Nacional"",
    ""author"": ""Jos\u00e9 Toral""
}"
9,1,1,1,8/8/2021,"{
    ""name"": ""Canal 44/Radio UdeG"",
    ""headline"": ""En el ocaso de su vida \u00fatil, el vertedero Los Laureles llena de jugos de basura al R\u00edo Santiago"",
    ""url"": ""https://udgtv.com/noticias/ocaso-vida-util-vertedero-los-laureles-llena-jugos-basura-al-rio-santiago/"",
    ""paywall "": true,
    ""coverageLevel"": ""Estatal"",
    ""author"": ""Elena Castolo S\u00e1nchez""
}"
10,1,1,1,9/8/2021,"{
    ""name"": ""Canal 44/Radio UdeG"",
    ""headline"": ""Video Reportaje"",
    ""url"": ""https://twitter.com/CANAL44TV/status/1424712062626762760 "",
    ""paywall "": true,
    ""coverageLevel"": ""Estatal"",
    ""author"": ""Jade Ram\u00edrez""
}"
